中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,598 Mbps,76595 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,5 ms,119 Mbps,15257 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,5 ms,89 Mbps,11468 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,75 ms,335 Mbps,42905 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,72 ms,316 Mbps,40448 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,81 ms,422 Mbps,54067 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,37 ms,481 Mbps,61644 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,77 ms,391 Mbps,50073 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,114 ms,234 Mbps,30003 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,75 ms,338 Mbps,43315 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,238 Mbps,30515 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,92 ms,38 Mbps,4920 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,93 ms,274 Mbps,35123 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,130 ms,259 Mbps,33177 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,78 ms,408 Mbps,52326 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,16 ms,44 Mbps,5664 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,93 ms,229 Mbps,29388 kB/s
132.145.242.62,443,2a0b:21c0:100a:1b3:0:ae42:aeb3:7a15,DE,Frankfurt,隧道,102 ms,204 Mbps,26112 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,12 ms,65 Mbps,8362 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,132 ms,270 Mbps,34611 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,86 ms,41 Mbps,5250 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,40 ms,4 Mbps,516 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,14 ms,67 Mbps,8603 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,16 ms,63 Mbps,8186 kB/s
47.90.141.204,443,91.149.239.70,US,Los Angeles,隧道,8 ms,44 Mbps,5661 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,147 ms,206 Mbps,26419 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,175 ms,130 Mbps,16691 kB/s
144.22.252.124,443,144.22.252.124,BR,S
