中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Chicago,中转,72 ms,661 Mbps,84684 kB/s,84684.0
3.144.191.4,443,3.144.191.4,US,Columbus,中转,22 ms,646 Mbps,82739 kB/s,82739.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,45 ms,526 Mbps,67379 kB/s,67379.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,79 ms,423 Mbps,54169 kB/s,54169.0
138.2.227.164,443,138.2.227.164,US,San Jose,中转,74 ms,406 Mbps,52019 kB/s,52019.0
35.230.79.26,443,35.212.224.237,US,Seattle,隧道,101 ms,371 Mbps,47513 kB/s,47513.0
47.253.129.190,443,47.253.129.190,US,Ashburn,中转,19 ms,369 Mbps,47308 kB/s,47308.0
35.197.23.75,443,35.212.224.237,US,Seattle,隧道,94 ms,363 Mbps,46489 kB/s,46489.0
34.82.76.253,443,104.198.8.26,US,Seattle,隧道,80 ms,357 Mbps,45772 kB/s,45772.0
129.146.46.164,443,129.146.46.164,,Los Angeles,中转,0 ms,317 Mbps,40652 kB/s,40652.0
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,95 ms,317 Mbps,40652 kB/s,40652.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,88 ms,312 Mbps,40038 kB/s,40038.0
192.18.134.22,443,192.18.134.22,US,San Jose,中转,79 ms,312 Mbps,39936 kB/s,39936.0
192.18.130.65,443,192.18.130.65,US,San Jose,中转,83 ms,312 Mbps,39936 kB/s,39936.0
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,119 ms,308 Mbps,39424 kB/s,39424.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,98 ms,306 Mbps,39219 kB/s,39219.0
150.230.44.13,443,150.230.44.13,US,San Jose,中转,96 ms,288 Mbps,36966 kB/s,36966.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,111 ms,260 Mbps,33280 kB/s,33280.0
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,99 ms,249 Mbps,31948 kB/s,31948.0
144.24.175.179,443,2a0b:21c0:1007:ca:0:333f:8891:e9bd,DE,Frankfurt,隧道,102 ms,249 Mbps,31948 kB/s,31948.0
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,119 ms,244 Mbps,31334 kB/s,31334.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,111 ms,237 Mbps,30412 kB/s,30412.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,107 ms,236 Mbps,30208 kB/s,30208.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,89 ms,234 Mbps,30003 kB/s,30003.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,99 ms,231 Mbps,29593 kB/s,29593.0
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,91 ms,221 Mbps,28364 kB/s,28364.0
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,142 ms,218 Mbps,27955 kB/s,27955.0
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,106 ms,215 Mbps,27545 kB/s,27545.0
84.235.173.139,443,2606:f240:f00:a683:0:4a7f:ca41:a6e3,US,Frankfurt,隧道,127 ms,211 Mbps,27033 kB/s,27033.0
152.70.47.65,443,2a0b:21c0:100a:1b2:0:1de4:5a9a:9e21,DE,Frankfurt,隧道,119 ms,204 Mbps,26112 kB/s,26112.0
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,93 ms,197 Mbps,25292 kB/s,25292.0
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,101 ms,186 Mbps,23859 kB/s,23859.0
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,146 ms,149 Mbps,19148 kB/s,19148.0
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,124 ms,144 Mbps,18432 kB/s,18432.0
152.70.179.187,443,2a0b:21c0:1007:c9:0:809d:9457:a1be,DE,Frankfurt,隧道,128 ms,129 Mbps,16588 kB/s,16588.0
47.88.15.127,443,47.88.15.127,US,San Jose,中转,70 ms,129 Mbps,16588 kB/s,16588.0
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,35 ms,128 Mbps,16384 kB/s,16384.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,180 ms,120 Mbps,15360 kB/s,15360.0
193.123.39.210,443,2a0b:21c0:1007:ca:0:6f8d:8ced:60fb,DE,Frankfurt,隧道,101 ms,119 Mbps,15257 kB/s,15257.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,224 ms,99 Mbps,12697 kB/s,12697.0
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,185 ms,92 Mbps,11776 kB/s,11776.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,214 ms,90 Mbps,11571 kB/s,11571.0
8.218.202.1,443,8.218.202.1,HK,Hong Kong,中转,227 ms,90 Mbps,11571 kB/s,11571.0
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,205 ms,88 Mbps,11366 kB/s,11366.0
129.154.207.203,443,2a09:bac1:3f00:90::22:11b,KR,Seoul,隧道,208 ms,84 Mbps,10752 kB/s,10752.0
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,190 ms,83 Mbps,10649 kB/s,10649.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,533 ms,81 Mbps,10444 kB/s,10444.0
152.70.39.214,443,2607:a400:a:16b:0:1f42:4874:a9,US,Los Angeles,隧道,237 ms,80 Mbps,10240 kB/s,10240.0
129.154.217.244,443,107.151.176.66,US,Los Angeles,隧道,208 ms,79 Mbps,10137 kB/s,10137.0
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,203 ms,79 Mbps,10137 kB/s,10137.0
132.226.234.64,443,107.151.176.166,US,Los Angeles,隧道,216 ms,79 Mbps,10137 kB/s,10137.0
152.70.236.120,443,2607:a400:a:16b:0:26dd:8dda:e371,US,Los Angeles,隧道,228 ms,78 Mbps,10035 kB/s,10035.0
129.154.213.204,443,2607:a400:a:16b:0:926b:7ba:3e99,US,Los Angeles,隧道,267 ms,78 Mbps,10035 kB/s,10035.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,7 ms,76 Mbps,9815 kB/s,9815.0
193.122.101.233,443,2607:a400:a:6c:0:4e1d:9e3f:b14,US,Los Angeles,隧道,227 ms,76 Mbps,9776 kB/s,9776.0
132.226.16.196,443,2607:a400:a:6c:0:755e:7c8a:d7f6,US,Los Angeles,隧道,241 ms,75 Mbps,9680 kB/s,9680.0
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,7 ms,75 Mbps,9624 kB/s,9624.0
146.56.161.34,443,2607:a400:a:6b:0:70a0:6348:9330,US,Los Angeles,隧道,203 ms,75 Mbps,9622 kB/s,9622.0
8.212.44.95,443,47.76.21.93,HK,Hong Kong,隧道,244 ms,74 Mbps,9552 kB/s,9552.0
8.212.48.236,443,47.76.21.100,HK,Hong Kong,隧道,238 ms,74 Mbps,9508 kB/s,9508.0
132.226.20.30,443,2607:a400:a:16b:0:8bb5:6269:505d,US,Los Angeles,隧道,239 ms,73 Mbps,9469 kB/s,9469.0
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,247 ms,73 Mbps,9408 kB/s,9408.0
152.70.255.164,443,2607:a400:a:6b:0:4cd0:363:a68f,US,Los Angeles,隧道,264 ms,72 Mbps,9243 kB/s,9243.0
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,259 ms,71 Mbps,9190 kB/s,9190.0
132.226.20.126,443,2607:a400:a:6c:0:ca28:2e95:9a86,US,Los Angeles,隧道,262 ms,71 Mbps,9180 kB/s,9180.0
131.186.30.65,443,2607:a400:a:16b:0:5f41:2fc9:4c94,US,Los Angeles,隧道,236 ms,71 Mbps,9115 kB/s,9115.0
