中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,48 ms,46 Mbps,5953 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,46 ms,346 Mbps,44339 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,57 ms,3 Mbps,469 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,63 ms,7 Mbps,994 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,15 ms,968 Mbps,123904 kB/s
129.146.7.98,443,2a09:bac5:60ee:1846::26b:7c,US,Los Angeles,隧道,56 ms,89 Mbps,11468 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,49 ms,461 Mbps,59084 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,66 ms,472 Mbps,60416 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,385 Mbps,49356 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,53 ms,428 Mbps,54784 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,15 ms,57 Mbps,7397 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,110 ms,158 Mbps,20275 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,128 ms,152 Mbps,19558 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,51 ms,204 Mbps,26112 kB/s
143.47.188.53,443,2a0b:21c0:100a:1b3:0:da1f:ad9d:4daf,DE,Frankfurt,隧道,108 ms,195 Mbps,24985 kB/s
47.253.100.59,443,47.253.100.59,US,Ashburn,中转,32 ms,385 Mbps,49356 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,14 ms,66 Mbps,8494 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,23 ms,840 Mbps,107520 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,239 ms,533 Mbps,68300 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,180 Mbps,23040 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,105 ms,16 Mbps,2131 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,57 ms,134 Mbps,17203 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,142 ms,129 Mbps,16588 kB/s
47.253.223.200,443,47.253.223.200,US,Ashburn,中转,102 ms,10 Mbps,1293 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::4:278,US,San Jose,隧道,60 ms,192 Mbps,24576 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,98 ms,187 Mbps,23961 kB/s
192.18.134.22,443,192.18.134.22,US,San Jose,中转,53 ms,388 Mbps,49766 kB/s
129.80.222.224,443,129.80.222.224,US,Ashburn,中转,25 ms,147 Mbps,18841 kB/s
141.144.195.117,443,2606:f240:f00:83a7:0:f193:f420:12c4,US,Frankfurt,隧道,108 ms,163 Mbps,20889 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,110 ms,165 Mbps,21196 kB/s
141.147.40.199,443,2a0b:21c0:1007:1c7:0:7c2a:d9fa:165a,DE,Frankfurt,隧道,109 ms,196 Mbps,25190 kB/s
141.148.234.216,443,2a0b:21c0:100a:1b0:0:6272:95ec:333d,DE,Frankfurt,隧道,108 ms,197 Mbps,25292 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,198 Mbps,25395 kB/s
152.70.54.89,443,2606:f240:f00:5a42:0:7314:2338:5e0,US,Frankfurt,隧道,109 ms,188 Mbps,24064 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,58 ms,192 Mbps,24576 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,109 ms,49 Mbps,6363 kB/s
144.24.180.180,443,2a0b:21c0:1007:1ca:0:8525:fc13:3dff,DE,Frankfurt,隧道,113 ms,168 Mbps,21606 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,97 ms,53 Mbps,6851 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,48 Mbps,6224 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,166 ms,31 Mbps,4021 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,170 ms,96 Mbps,12288 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,183 Mbps,23449 kB/s
193.123.186.132,443,163.123.193.8,DE,Frankfurt,隧道,107 ms,178 Mbps,22835 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,209 ms,2 Mbps,310 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,168 ms,100 Mbps,12800 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,169 ms,75 Mbps,9665 kB/s
141.147.29.24,443,2a0b:21c0:1007:c8:0:a708:b48:adb4,DE,Frankfurt,隧道,110 ms,181 Mbps,23244 kB/s
144.24.178.230,443,98.98.166.202,US,Frankfurt,隧道,110 ms,186 Mbps,23859 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,166 ms,100 Mbps,12800 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,170 ms,42 Mbps,5460 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,179 ms,101 Mbps,13004 kB/s
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,201 ms,41 Mbps,5264 kB/s
8.222.218.30,443,8.222.218.30,SG,Singapore,中转,249 ms,49 Mbps,6331 kB/s
141.148.220.141,443,2a09:bac1:36c0:18::2a7:69,IN,Mumbai,隧道,214 ms,37 Mbps,4805 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,183 ms,54 Mbps,6969 kB/s
