中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,36 ms,588 Mbps,75264 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,16 ms,349 Mbps,44748 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,61 ms,552 Mbps,70656 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,113 ms,202 Mbps,25907 kB/s
129.146.46.164,443,129.146.46.164,338 Mbps,43315 kB/s
129.146.7.98,443,2a09:bac1:76e0:e18::26b:a0,US,Los Angeles,隧道,62 ms,56 Mbps,7223 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,22 ms,74 Mbps,9490 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,59 ms,407 Mbps,52121 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,62 ms,476 Mbps,61030 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,56 ms,336 Mbps,43008 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,101 ms,196 Mbps,25190 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,16 ms,2 Mbps,346 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,84 ms,463 Mbps,59289 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,51 ms,545 Mbps,69836 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,67 ms,332 Mbps,42496 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,117 ms,200 Mbps,25702 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,73 ms,196 Mbps,25190 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,122 ms,225 Mbps,28876 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,101 ms,47 Mbps,6040 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,118 ms,25 Mbps,3202 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,60 ms,379 Mbps,48537 kB/s
132.226.211.247,443,2606:f240:f00:6acf:0:7f86:6eb3:8ab,US,Frankfurt,隧道,115 ms,202 Mbps,25907 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,57 ms,463 Mbps,59289 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,110 ms,40 Mbps,5170 kB/s
144.24.167.37,443,2606:f240:f00:2be4:0:a701:e50b:2a94,US,Frankfurt,隧道,134 ms,174 Mbps,22323 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,113 ms,239 Mbps,30617 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,103 ms,37 Mbps,4846 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,119 ms,38 Mbps,4868 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,153 ms,131 Mbps,16793 kB/s
158.101.201.244,443,2a0b:21c0:1007:c9:0:1538:93ee:5290,DE,Frankfurt,隧道,120 ms,195 Mbps,24985 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,113 ms,42 Mbps,5428 kB/s
