中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,816 Mbps,104448 kB/s
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,48 ms,509 Mbps,65228 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,49 ms,516 Mbps,66150 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,25 ms,4 Mbps,629 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,48 ms,444 Mbps,56934 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,60 ms,492 Mbps,63078 kB/s
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,49 ms,497 Mbps,63692 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,216 Mbps,27750 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,55 ms,441 Mbps,56524 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,115 ms,51 Mbps,6621 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,103 ms,258 Mbps,33075 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,149 ms,45 Mbps,5810 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,198 Mbps,25395 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,110 ms,45 Mbps,5808 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,154 ms,44 Mbps,5635 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,147 ms,149 Mbps,19148 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,154 ms,43 Mbps,5511 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,190 ms,34 Mbps,4467 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,45 ms,442 Mbps,56627 kB/s
