中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
35.202.158.120,443,35.202.158.120,US,Chicago,中转,13 ms,695 Mbps,88985 kB/s,88985.0
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,62 ms,534 Mbps,68403 kB/s,68403.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,52 ms,531 Mbps,67993 kB/s,67993.0
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,33 ms,502 Mbps,64307 kB/s,64307.0
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,87 ms,460 Mbps,58880 kB/s,58880.0
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,85 ms,444 Mbps,56934 kB/s,56934.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,50 ms,440 Mbps,56320 kB/s,56320.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,85 ms,434 Mbps,55603 kB/s,55603.0
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,75 ms,405 Mbps,51916 kB/s,51916.0
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,81 ms,393 Mbps,50380 kB/s,50380.0
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,83 ms,392 Mbps,50176 kB/s,50176.0
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,54 ms,368 Mbps,47104 kB/s,47104.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,166 ms,363 Mbps,46489 kB/s,46489.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,362 Mbps,46387 kB/s,46387.0
192.18.134.231,443,192.18.134.231,US,Los Angeles,中转,58 ms,352 Mbps,45158 kB/s,45158.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,52 ms,349 Mbps,44748 kB/s,44748.0
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,276 Mbps,35328 kB/s,35328.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,76 ms,246 Mbps,31539 kB/s,31539.0
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,130 ms,220 Mbps,28160 kB/s,28160.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,108 ms,205 Mbps,26316 kB/s,26316.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,116 ms,193 Mbps,24780 kB/s,24780.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,118 ms,189 Mbps,24268 kB/s,24268.0
130.162.231.200,443,2a0b:21c0:100a:1b6:0:7cb2:3b15:3a5,DE,Frankfurt,隧道,114 ms,188 Mbps,24064 kB/s,24064.0
130.162.166.152,443,2606:f240:f00:5a42:0:3d2b:b15a:c003,US,Frankfurt,隧道,120 ms,186 Mbps,23859 kB/s,23859.0
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,138 ms,173 Mbps,22220 kB/s,22220.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,175 ms,172 Mbps,22016 kB/s,22016.0
